edge_id,pair_key,relation,source_id,target_id,inverse_relation,evidence
ED00001,L00001,file_has_path,F0001,P0001,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx
ED00002,L00001,path_belongs_to_file,P0001,F0001,file_has_path,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx
ED00003,L00002,file_has_path,F0002,P0002,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx
ED00004,L00002,path_belongs_to_file,P0002,F0002,file_has_path,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx
ED00005,L00003,file_has_path,F0003,P0003,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx
ED00006,L00003,path_belongs_to_file,P0003,F0003,file_has_path,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx
ED00007,L00004,file_has_path,F0004,P0004,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345.zip
ED00008,L00004,path_belongs_to_file,P0004,F0004,file_has_path,ref1/.mpp test files/2-3-4-5/2345.zip
ED00009,L00005,file_has_path,F0001,P0005,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/2345 - DCMA Report.xlsx
ED00010,L00005,path_belongs_to_file,P0005,F0001,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/2345 - DCMA Report.xlsx
ED00011,L00006,file_has_path,F0002,P0006,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/2345 - Metric History Report.xlsx
ED00012,L00006,path_belongs_to_file,P0006,F0002,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/2345 - Metric History Report.xlsx
ED00013,L00007,file_has_path,F0003,P0007,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/2345 - Quick Add Metrics.xlsx
ED00014,L00007,path_belongs_to_file,P0007,F0003,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/2345 - Quick Add Metrics.xlsx
ED00015,L00008,file_has_path,F0005,P0008,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/L12 - Detailed Metric Report.xlsx
ED00016,L00008,path_belongs_to_file,P0008,F0005,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/L12 - Detailed Metric Report.xlsx
ED00017,L00009,file_has_path,F0006,P0009,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/L12- Metric History Report.xlsx
ED00018,L00009,path_belongs_to_file,P0009,F0006,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/L12- Metric History Report.xlsx
ED00019,L00010,file_has_path,F0007,P0010,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/L12- Quick Add Metrics.xlsx
ED00020,L00010,path_belongs_to_file,P0010,F0007,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/L12- Quick Add Metrics.xlsx
ED00021,L00011,file_has_path,F0102,P0011,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project2.mpp
ED00022,L00011,path_belongs_to_file,P0011,F0102,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project2.mpp
ED00023,L00012,file_has_path,F0008,P0012,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project3.mpp
ED00024,L00012,path_belongs_to_file,P0012,F0008,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project3.mpp
ED00025,L00013,file_has_path,F0009,P0013,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project4.mpp
ED00026,L00013,path_belongs_to_file,P0013,F0009,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project4.mpp
