file_id,canonical_path,family_id,path_ids,as_oracle_association_ids,as_schedule_association_ids,oracle_test_case_ids,schedule_test_case_ids,mpp_xml_pair_ids,equivalence_class_ids,repository_item_ids
F0001,ref1/.mpp test files/2-3-4-5/2345 - DCMA Report.xlsx,FAM008,P0001|P0005|P0027|P0073|P0249|P0271,A0001|A0002|A0003|A0004,,TC-F0001,,,,
F0002,ref1/.mpp test files/2-3-4-5/2345 - Metric History Report.xlsx,FAM008,P0002|P0006|P0028|P0074|P0250|P0272,A0005|A0006|A0007|A0008,,TC-F0002,,,,
F0003,ref1/.mpp test files/2-3-4-5/2345 - Quick Add Metrics.xlsx,FAM008,P0003|P0007|P0029|P0075|P0251|P0273,A0009|A0010|A0011|A0012,,TC-F0003,,,,
F0004,ref1/.mpp test files/2-3-4-5/2345.zip,FAM008,P0004,,,,,,,
F0005,ref1/.mpp test files/2-3-4-5/L12 - Detailed Metric Report.xlsx,FAM005,P0008|P0030|P0054|P0076|P0252|P0274,A0013|A0014|A0015,,TC-F0005,,,,
F0006,ref1/.mpp test files/2-3-4-5/L12- Metric History Report.xlsx,FAM005,P0009|P0031|P0055|P0077|P0253|P0275,A0016|A0017|A0018,,TC-F0006,,,,
F0007,ref1/.mpp test files/2-3-4-5/L12- Quick Add Metrics.xlsx,FAM005,P0010|P0032|P0056|P0078|P0254|P0276,A0019|A0020|A0021,,TC-F0007,,,,
F0008,ref1/.mpp test files/2-3-4-5/Project3.mpp,FAM008,P0012|P0034|P0058|P0080|P0169|P0256|P0278|P0349|P0359|P0399,,A0001|A0005|A0009|A0132,,TC-F0001|TC-F0002|TC-F0003|TC-F0135,,,
F0009,ref1/.mpp test files/2-3-4-5/Project4.mpp,FAM008,P0013|P0035|P0059|P0081|P0170|P0257|P0279|P0350|P0360|P0400,,A0002|A0006|A0010|A0133,,TC-F0001|TC-F0002|TC-F0003|TC-F0135,,,
F0010,ref1/.mpp test files/2-3-4-5/Project5_TAMPERED.mpp,FAM008,P0014|P0036|P0060|P0082|P0189|P0258|P0280|P0339|P0345|P0351|P0361|P0401,,A0003|A0007|A0011|A0134|A0145|A0149|A0152|A0156|A0164|A0168|A0171|A0174,,TC-F0001|TC-F0002|TC-F0003|TC-F0135|TC-F0144|TC-F0145|TC-F0146|TC-F0147|TC-F0152|TC-F0164|TC-F0165|TC-F0166,,EQ004|EQ006|EQ007|EQ008|EQ009|EQ011|EQ012|EQ013|EQ014,
